"TIME","GEO","INDIC_MD","Value","Flag and Footnotes"
"2007","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2007","Lebanon","Unemployment rate by education level, male, Illiterate (%)","5.6",""
"2007","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)","7.7",""
"2007","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)","8.2",""
"2007","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)","9.8",""
"2007","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)","10.8",""
"2007","Palestine","Unemployment rate by education level, male, Illiterate (%)","25.9",""
"2007","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","25.7",""
"2007","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","25.4",""
"2007","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","20.7",""
"2007","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","14.3",""
"2008","Algeria","Unemployment rate by education level, male, Illiterate (%)","3.1","i"
"2008","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","8.1","i"
"2008","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","13.4","i"
"2008","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","9.5","i"
"2008","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","11.6","i"
"2008","Egypt","Unemployment rate by education level, male, Illiterate (%)","0.6",""
"2008","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2008","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","1.7","i"
"2008","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","9.0",""
"2008","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","12.1",""
"2008","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.7",""
"2008","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","7.5",""
"2008","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","16.6",""
"2008","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","18.2",""
"2008","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","14.8",""
"2008","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.8",""
"2008","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","11.5",""
"2008","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)","17.0",""
"2008","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","12.9",""
"2008","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","14.4",""
"2008","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2008","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","11.2",""
"2008","Israel","Unemployment rate by education level, male, ISCED 2 (%)","9.8",""
"2008","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","5.9",""
"2008","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","3.8",""
"2008","Jordan","Unemployment rate by education level, male, Illiterate (%)","7.6",""
"2008","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2008","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2008","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2008","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2008","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2008","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2008","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2008","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2008","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2008","Palestine","Unemployment rate by education level, male, Illiterate (%)","30.3",""
"2008","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","31.7",""
"2008","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","29.4",""
"2008","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","25.0",""
"2008","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","18.2",""
"2009","Algeria","Unemployment rate by education level, male, Illiterate (%)","2.5","i"
"2009","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","7.1","i"
"2009","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","10.5","i"
"2009","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","8.4","i"
"2009","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","11.5","i"
"2009","Egypt","Unemployment rate by education level, male, Illiterate (%)","0.5",""
"2009","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2009","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","1.4","i"
"2009","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","7.8",""
"2009","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","12.4",""
"2009","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.5",""
"2009","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","7.0",""
"2009","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","16.2",""
"2009","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.4",""
"2009","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","13.9",""
"2009","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.1",""
"2009","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","9.3",""
"2009","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2009","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","13.2",""
"2009","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","15.5",""
"2009","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2009","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","12.0",""
"2009","Israel","Unemployment rate by education level, male, ISCED 2 (%)","11.3",""
"2009","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","8.7",""
"2009","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","5.1",""
"2009","Jordan","Unemployment rate by education level, male, Illiterate (%)","10.9",""
"2009","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2009","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2009","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2009","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2009","Lebanon","Unemployment rate by education level, male, Illiterate (%)","4.7",""
"2009","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)","4.0",""
"2009","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)","4.4",""
"2009","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)","5.3",""
"2009","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)","7.0",""
"2009","Palestine","Unemployment rate by education level, male, Illiterate (%)","35.3",""
"2009","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","28.3",""
"2009","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","27.4",""
"2009","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","21.0",""
"2009","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","15.9",""
"2010","Algeria","Unemployment rate by education level, male, Illiterate (%)","1.7","i"
"2010","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","7.5","i"
"2010","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","10.5","i"
"2010","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","7.0","i"
"2010","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","10.4","i"
"2010","Egypt","Unemployment rate by education level, male, Illiterate (%)","0.9",""
"2010","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2010","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","1.5","i"
"2010","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","6.8",""
"2010","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","11.1",""
"2010","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.6",""
"2010","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","6.5",""
"2010","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","15.3",""
"2010","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.4",""
"2010","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","13.6",""
"2010","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.5",""
"2010","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","8.5",""
"2010","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2010","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","12.8",""
"2010","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","15.9",""
"2010","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2010","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","12.0",""
"2010","Israel","Unemployment rate by education level, male, ISCED 2 (%)","11.3",""
"2010","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","7.7",""
"2010","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","4.2",""
"2010","Jordan","Unemployment rate by education level, male, Illiterate (%)","8.6",""
"2010","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2010","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2010","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2010","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2010","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2010","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2010","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2010","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2010","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2010","Palestine","Unemployment rate by education level, male, Illiterate (%)","31.9",""
"2010","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","27.3",""
"2010","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","25.5",""
"2010","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","20.0",""
"2010","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","15.5",""
"2011","Algeria","Unemployment rate by education level, male, Illiterate (%)","2.4","i"
"2011","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","6.3","i"
"2011","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","11.9","i"
"2011","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","6.9","i"
"2011","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","8.9","i"
"2011","Egypt","Unemployment rate by education level, male, Illiterate (%)","3.7",""
"2011","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2011","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","6.9","i"
"2011","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","11.1",""
"2011","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","13.9",""
"2011","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.2",""
"2011","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","6.0",""
"2011","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","14.2",""
"2011","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.8",""
"2011","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","12.8",""
"2011","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.3",""
"2011","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","11.0",""
"2011","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2011","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","19.5",""
"2011","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","19.3",""
"2011","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2011","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","9.4",""
"2011","Israel","Unemployment rate by education level, male, ISCED 2 (%)","8.9",""
"2011","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","6.4",""
"2011","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","3.8",""
"2011","Jordan","Unemployment rate by education level, male, Illiterate (%)","8.2",""
"2011","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2011","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2011","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2011","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2011","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2011","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2011","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2011","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2011","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2011","Palestine","Unemployment rate by education level, male, Illiterate (%)","27.5",""
"2011","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","22.1",""
"2011","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","21.0",""
"2011","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","17.1",""
"2011","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","14.5",""
"2012","Algeria","Unemployment rate by education level, male, Illiterate (%)","2.7","i"
"2012","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","7.9","i"
"2012","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","12.7","i"
"2012","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","7.9","i"
"2012","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","9.8","i"
"2012","Egypt","Unemployment rate by education level, male, Illiterate (%)","2.3",""
"2012","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2012","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","7.0","i"
"2012","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","12.1",""
"2012","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","15.2",""
"2012","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.2",""
"2012","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","6.2",""
"2012","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","14.7",""
"2012","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.3",""
"2012","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","13.3",""
"2012","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.3",""
"2012","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","11.4",""
"2012","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2012","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","19.1",""
"2012","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","15.6",""
"2012","Israel","Unemployment rate by education level, male, Illiterate (%)","0.1","b"
"2012","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","13.9","b"
"2012","Israel","Unemployment rate by education level, male, ISCED 2 (%)","13.5","b"
"2012","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","7.2","b"
"2012","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","4.0","b"
"2012","Jordan","Unemployment rate by education level, male, Illiterate (%)","10.4",""
"2012","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2012","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2012","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2012","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2012","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2012","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2012","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2012","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2012","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2012","Palestine","Unemployment rate by education level, male, Illiterate (%)","22.0",""
"2012","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","23.5",""
"2012","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","22.2",""
"2012","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","18.7",""
"2012","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","16.0",""
"2013","Algeria","Unemployment rate by education level, male, Illiterate (%)","2.2","i"
"2013","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","6.4","i"
"2013","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","10.4","i"
"2013","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","7.9","i"
"2013","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","9.4","i"
"2013","Egypt","Unemployment rate by education level, male, Illiterate (%)","5.8",""
"2013","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2013","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","7.5","i"
"2013","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","11.5",""
"2013","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","15.3",""
"2013","Morocco","Unemployment rate by education level, male, Illiterate (%)","2.8",""
"2013","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","6.9",""
"2013","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","14.7",""
"2013","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.7",""
"2013","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","13.0",""
"2013","Tunisia","Unemployment rate by education level, male, Illiterate (%)","5.3",""
"2013","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","9.8",""
"2013","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2013","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","15.5",""
"2013","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","20.1",""
"2013","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2013","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","11.5",""
"2013","Israel","Unemployment rate by education level, male, ISCED 2 (%)","11.4",""
"2013","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","6.7",""
"2013","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","4.0",""
"2013","Jordan","Unemployment rate by education level, male, Illiterate (%)","8.5",""
"2013","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2013","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2013","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2013","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2013","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2013","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2013","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2013","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2013","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2013","Palestine","Unemployment rate by education level, male, Illiterate (%)","30.9",""
"2013","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","23.2",""
"2013","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","23.2",""
"2013","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","17.7",""
"2013","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","16.0",""
"2014","Algeria","Unemployment rate by education level, male, Illiterate (%)","2.6","i"
"2014","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","6.9","i"
"2014","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","11.6","i"
"2014","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","8.3","i"
"2014","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","9.9","i"
"2014","Egypt","Unemployment rate by education level, male, Illiterate (%)","4.2",""
"2014","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2014","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","10.1","bi"
"2014","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","10.8","b"
"2014","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","13.7",""
"2014","Morocco","Unemployment rate by education level, male, Illiterate (%)","3.2",""
"2014","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","7.1",""
"2014","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","15.0",""
"2014","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","15.9",""
"2014","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","15.5",""
"2014","Tunisia","Unemployment rate by education level, male, Illiterate (%)",":",""
"2014","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2014","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2014","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2014","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2014","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2014","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","9.0",""
"2014","Israel","Unemployment rate by education level, male, ISCED 2 (%)","11.8",""
"2014","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","6.7",""
"2014","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","3.7",""
"2014","Jordan","Unemployment rate by education level, male, Illiterate (%)","6.6",""
"2014","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2014","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2014","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2014","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2014","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
