"TIME","GEO","INDIC_CO","Value","Flag and Footnotes"
"2007","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2007","Ukraine","Employment rate (15 to 64 years), total (%)","62.9",""
"2007","Ukraine","Employment rate (15 to 64 years), males (%)","67.9",""
"2007","Ukraine","Employment rate (15 to 64 years), females (%)","58.3",""
"2007","Ukraine","Total employment rate of older workers (%)","39.7",""
"2007","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.6",""
"2007","Armenia","Employment rate (15 to 64 years), total (%)","51.7","i"
"2007","Armenia","Employment rate (15 to 64 years), males (%)","63.0","i"
"2007","Armenia","Employment rate (15 to 64 years), females (%)","42.2","i"
"2007","Armenia","Total employment rate of older workers (%)","55.0","i"
"2007","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2007","Azerbaijan","Employment rate (15 to 64 years), total (%)","67.1",""
"2007","Azerbaijan","Employment rate (15 to 64 years), males (%)","70.7",""
"2007","Azerbaijan","Employment rate (15 to 64 years), females (%)","63.7",""
"2007","Azerbaijan","Total employment rate of older workers (%)","60.5",""
"2007","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2007","Georgia","Employment rate (15 to 64 years), total (%)","57.8",""
"2007","Georgia","Employment rate (15 to 64 years), males (%)","65.5",""
"2007","Georgia","Employment rate (15 to 64 years), females (%)","51.1",""
"2007","Georgia","Total employment rate of older workers (%)","70.8",""
"2008","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2008","Belarus","Employment rate (15 to 64 years), total (%)","78.2","i"
"2008","Belarus","Employment rate (15 to 64 years), males (%)","71.9","i"
"2008","Belarus","Employment rate (15 to 64 years), females (%)","84.9","i"
"2008","Belarus","Total employment rate of older workers (%)",":",""
"2008","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.9",""
"2008","Moldova","Employment rate (15 to 64 years), total (%)","47.0",""
"2008","Moldova","Employment rate (15 to 64 years), males (%)","48.7",""
"2008","Moldova","Employment rate (15 to 64 years), females (%)","46.0",""
"2008","Moldova","Total employment rate of older workers (%)","49.8",""
"2008","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2008","Ukraine","Employment rate (15 to 64 years), total (%)","63.4",""
"2008","Ukraine","Employment rate (15 to 64 years), males (%)","68.6",""
"2008","Ukraine","Employment rate (15 to 64 years), females (%)","58.5",""
"2008","Ukraine","Total employment rate of older workers (%)","40.2",""
"2008","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.6",""
"2008","Armenia","Employment rate (15 to 64 years), total (%)","51.7","i"
"2008","Armenia","Employment rate (15 to 64 years), males (%)","62.9",""
"2008","Armenia","Employment rate (15 to 64 years), females (%)","42.4",""
"2008","Armenia","Total employment rate of older workers (%)","58.0",""
"2008","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2008","Azerbaijan","Employment rate (15 to 64 years), total (%)","66.2",""
"2008","Azerbaijan","Employment rate (15 to 64 years), males (%)","69.9",""
"2008","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.6",""
"2008","Azerbaijan","Total employment rate of older workers (%)","57.4",""
"2008","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2008","Georgia","Employment rate (15 to 64 years), total (%)","55.3",""
"2008","Georgia","Employment rate (15 to 64 years), males (%)","63.9",""
"2008","Georgia","Employment rate (15 to 64 years), females (%)","47.6",""
"2008","Georgia","Total employment rate of older workers (%)","65.4",""
"2009","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2009","Belarus","Employment rate (15 to 64 years), total (%)","79.2","i"
"2009","Belarus","Employment rate (15 to 64 years), males (%)","72.9","i"
"2009","Belarus","Employment rate (15 to 64 years), females (%)","85.9","i"
"2009","Belarus","Total employment rate of older workers (%)","40.4","i"
"2009","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.8",""
"2009","Moldova","Employment rate (15 to 64 years), total (%)","44.6",""
"2009","Moldova","Employment rate (15 to 64 years), males (%)","46.0",""
"2009","Moldova","Employment rate (15 to 64 years), females (%)","43.1",""
"2009","Moldova","Total employment rate of older workers (%)","43.3",""
"2009","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2009","Ukraine","Employment rate (15 to 64 years), total (%)","61.0",""
"2009","Ukraine","Employment rate (15 to 64 years), males (%)","64.8",""
"2009","Ukraine","Employment rate (15 to 64 years), females (%)","57.6",""
"2009","Ukraine","Total employment rate of older workers (%)","40.6",""
"2009","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.5",""
"2009","Armenia","Employment rate (15 to 64 years), total (%)","49.6","i"
"2009","Armenia","Employment rate (15 to 64 years), males (%)","49.2",""
"2009","Armenia","Employment rate (15 to 64 years), females (%)","49.9",""
"2009","Armenia","Total employment rate of older workers (%)","56.0",""
"2009","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","86.2",""
"2009","Azerbaijan","Employment rate (15 to 64 years), total (%)","66.0",""
"2009","Azerbaijan","Employment rate (15 to 64 years), males (%)","69.3",""
"2009","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.8",""
"2009","Azerbaijan","Total employment rate of older workers (%)","56.0",""
"2009","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2009","Georgia","Employment rate (15 to 64 years), total (%)","56.2",""
"2009","Georgia","Employment rate (15 to 64 years), males (%)","64.0",""
"2009","Georgia","Employment rate (15 to 64 years), females (%)","49.2",""
"2009","Georgia","Total employment rate of older workers (%)","67.0",""
"2010","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2010","Belarus","Employment rate (15 to 64 years), total (%)","80.7","bi"
"2010","Belarus","Employment rate (15 to 64 years), males (%)","75.5","bi"
"2010","Belarus","Employment rate (15 to 64 years), females (%)","86.3","bi"
"2010","Belarus","Total employment rate of older workers (%)",":",""
"2010","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.9",""
"2010","Moldova","Employment rate (15 to 64 years), total (%)","43.0",""
"2010","Moldova","Employment rate (15 to 64 years), males (%)","44.2",""
"2010","Moldova","Employment rate (15 to 64 years), females (%)","41.8",""
"2010","Moldova","Total employment rate of older workers (%)","41.6",""
"2010","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2010","Ukraine","Employment rate (15 to 64 years), total (%)","61.5",""
"2010","Ukraine","Employment rate (15 to 64 years), males (%)","65.6",""
"2010","Ukraine","Employment rate (15 to 64 years), females (%)","57.8",""
"2010","Ukraine","Total employment rate of older workers (%)","40.4",""
"2010","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2010","Armenia","Employment rate (15 to 64 years), total (%)","51.4","i"
"2010","Armenia","Employment rate (15 to 64 years), males (%)","62.0",""
"2010","Armenia","Employment rate (15 to 64 years), females (%)","42.7",""
"2010","Armenia","Total employment rate of older workers (%)","59.7",""
"2010","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2010","Azerbaijan","Employment rate (15 to 64 years), total (%)","65.6",""
"2010","Azerbaijan","Employment rate (15 to 64 years), males (%)","68.7",""
"2010","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.5",""
"2010","Azerbaijan","Total employment rate of older workers (%)","60.0",""
"2010","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2010","Georgia","Employment rate (15 to 64 years), total (%)","57.4",""
"2010","Georgia","Employment rate (15 to 64 years), males (%)","63.8",""
"2010","Georgia","Employment rate (15 to 64 years), females (%)","51.6",""
"2010","Georgia","Total employment rate of older workers (%)","66.4",""
"2011","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2011","Belarus","Employment rate (15 to 64 years), total (%)","81.2","i"
"2011","Belarus","Employment rate (15 to 64 years), males (%)","77.5","i"
"2011","Belarus","Employment rate (15 to 64 years), females (%)","85.2","i"
"2011","Belarus","Total employment rate of older workers (%)",":",""
"2011","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","1.0",""
"2011","Moldova","Employment rate (15 to 64 years), total (%)","43.8",""
"2011","Moldova","Employment rate (15 to 64 years), males (%)","45.3",""
"2011","Moldova","Employment rate (15 to 64 years), females (%)","42.3",""
"2011","Moldova","Total employment rate of older workers (%)","40.9",""
"2011","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2011","Ukraine","Employment rate (15 to 64 years), total (%)","61.9",""
"2011","Ukraine","Employment rate (15 to 64 years), males (%)","66.7",""
"2011","Ukraine","Employment rate (15 to 64 years), females (%)","57.5",""
"2011","Ukraine","Total employment rate of older workers (%)","39.7",""
"2011","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2011","Armenia","Employment rate (15 to 64 years), total (%)","53.3","i"
"2011","Armenia","Employment rate (15 to 64 years), males (%)","61.8",""
"2011","Armenia","Employment rate (15 to 64 years), females (%)","46.4",""
"2011","Armenia","Total employment rate of older workers (%)","57.2",""
"2011","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2011","Azerbaijan","Employment rate (15 to 64 years), total (%)","65.1",""
"2011","Azerbaijan","Employment rate (15 to 64 years), males (%)","68.2",""
"2011","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.1",""
"2011","Azerbaijan","Total employment rate of older workers (%)","59.8",""
"2011","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2011","Georgia","Employment rate (15 to 64 years), total (%)","59.3",""
"2011","Georgia","Employment rate (15 to 64 years), males (%)","66.7",""
"2011","Georgia","Employment rate (15 to 64 years), females (%)","52.8",""
"2011","Georgia","Total employment rate of older workers (%)","69.2",""
"2012","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2012","Belarus","Employment rate (15 to 64 years), total (%)","80.7","i"
"2012","Belarus","Employment rate (15 to 64 years), males (%)","76.2","i"
"2012","Belarus","Employment rate (15 to 64 years), females (%)","85.5","i"
"2012","Belarus","Total employment rate of older workers (%)",":",""
"2012","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","1.5",""
"2012","Moldova","Employment rate (15 to 64 years), total (%)","42.7",""
"2012","Moldova","Employment rate (15 to 64 years), males (%)","43.7",""
"2012","Moldova","Employment rate (15 to 64 years), females (%)","41.7",""
"2012","Moldova","Total employment rate of older workers (%)","40.4",""
"2012","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2012","Ukraine","Employment rate (15 to 64 years), total (%)","62.4",""
"2012","Ukraine","Employment rate (15 to 64 years), males (%)","67.5",""
"2012","Ukraine","Employment rate (15 to 64 years), females (%)","57.8",""
"2012","Ukraine","Total employment rate of older workers (%)","40.0",""
"2012","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2012","Armenia","Employment rate (15 to 64 years), total (%)","53.7","i"
"2012","Armenia","Employment rate (15 to 64 years), males (%)","62.2",""
"2012","Armenia","Employment rate (15 to 64 years), females (%)","46.9",""
"2012","Armenia","Total employment rate of older workers (%)","59.0",""
"2012","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2012","Azerbaijan","Employment rate (15 to 64 years), total (%)","65.6",""
"2012","Azerbaijan","Employment rate (15 to 64 years), males (%)","68.6",""
"2012","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.6",""
"2012","Azerbaijan","Total employment rate of older workers (%)","55.7",""
"2012","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2012","Georgia","Employment rate (15 to 64 years), total (%)","60.4",""
"2012","Georgia","Employment rate (15 to 64 years), males (%)","68.7",""
"2012","Georgia","Employment rate (15 to 64 years), females (%)","53.0",""
"2012","Georgia","Total employment rate of older workers (%)","69.4",""
"2013","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2013","Belarus","Employment rate (15 to 64 years), total (%)","81.0","i"
"2013","Belarus","Employment rate (15 to 64 years), males (%)","76.7","i"
"2013","Belarus","Employment rate (15 to 64 years), females (%)","85.6","i"
"2013","Belarus","Total employment rate of older workers (%)",":",""
"2013","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","1.9",""
"2013","Moldova","Employment rate (15 to 64 years), total (%)","43.6",""
"2013","Moldova","Employment rate (15 to 64 years), males (%)","45.1",""
"2013","Moldova","Employment rate (15 to 64 years), females (%)","42.2",""
"2013","Moldova","Total employment rate of older workers (%)","39.5",""
"2013","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2013","Ukraine","Employment rate (15 to 64 years), total (%)","62.9",""
"2013","Ukraine","Employment rate (15 to 64 years), males (%)","68.1",""
"2013","Ukraine","Employment rate (15 to 64 years), females (%)","58.2",""
"2013","Ukraine","Total employment rate of older workers (%)","40.8",""
"2013","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2013","Armenia","Employment rate (15 to 64 years), total (%)","55.2","i"
"2013","Armenia","Employment rate (15 to 64 years), males (%)","63.7",""
"2013","Armenia","Employment rate (15 to 64 years), females (%)","48.2",""
"2013","Armenia","Total employment rate of older workers (%)","61.7",""
"2013","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","86.3",""
"2013","Azerbaijan","Employment rate (15 to 64 years), total (%)","66.0",""
"2013","Azerbaijan","Employment rate (15 to 64 years), males (%)","69.3",""
"2013","Azerbaijan","Employment rate (15 to 64 years), females (%)","62.9",""
"2013","Azerbaijan","Total employment rate of older workers (%)","53.4",""
"2013","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2013","Georgia","Employment rate (15 to 64 years), total (%)","60.1",""
"2013","Georgia","Employment rate (15 to 64 years), males (%)","67.3",""
"2013","Georgia","Employment rate (15 to 64 years), females (%)","53.6",""
"2013","Georgia","Total employment rate of older workers (%)","72.1",""
"2014","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2014","Belarus","Employment rate (15 to 64 years), total (%)","81.4","i"
"2014","Belarus","Employment rate (15 to 64 years), males (%)","78.4","i"
"2014","Belarus","Employment rate (15 to 64 years), females (%)","84.6","i"
"2014","Belarus","Total employment rate of older workers (%)",":",""
"2014","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","1.6",""
"2014","Moldova","Employment rate (15 to 64 years), total (%)","43.8",""
"2014","Moldova","Employment rate (15 to 64 years), males (%)","45.2",""
"2014","Moldova","Employment rate (15 to 64 years), females (%)","42.5",""
"2014","Moldova","Total employment rate of older workers (%)","40.7",""
"2014","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2014","Ukraine","Employment rate (15 to 64 years), total (%)","59.6","i"
"2014","Ukraine","Employment rate (15 to 64 years), males (%)","64.4","i"
"2014","Ukraine","Employment rate (15 to 64 years), females (%)","55.2","i"
"2014","Ukraine","Total employment rate of older workers (%)","33.7","i"
"2014","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2014","Armenia","Employment rate (15 to 64 years), total (%)","53.7",""
"2014","Armenia","Employment rate (15 to 64 years), males (%)","63.1",""
"2014","Armenia","Employment rate (15 to 64 years), females (%)","46.3",""
"2014","Armenia","Total employment rate of older workers (%)","58.2",""
"2014","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2014","Azerbaijan","Employment rate (15 to 64 years), total (%)","66.7",""
"2014","Azerbaijan","Employment rate (15 to 64 years), males (%)","69.8",""
"2014","Azerbaijan","Employment rate (15 to 64 years), females (%)","63.6",""
"2014","Azerbaijan","Total employment rate of older workers (%)","53.1",""
"2014","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2014","Georgia","Employment rate (15 to 64 years), total (%)","62.2",""
"2014","Georgia","Employment rate (15 to 64 years), males (%)","69.7",""
"2014","Georgia","Employment rate (15 to 64 years), females (%)","55.3",""
"2014","Georgia","Total employment rate of older workers (%)","72.2",""
"2015","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2015","Belarus","Employment rate (15 to 64 years), total (%)","81.3","i"
"2015","Belarus","Employment rate (15 to 64 years), males (%)","78.0","i"
"2015","Belarus","Employment rate (15 to 64 years), females (%)","85.0","i"
"2015","Belarus","Total employment rate of older workers (%)",":",""
"2015","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.9",""
"2015","Moldova","Employment rate (15 to 64 years), total (%)","44.5",""
"2015","Moldova","Employment rate (15 to 64 years), males (%)","45.5",""
"2015","Moldova","Employment rate (15 to 64 years), females (%)","43.7",""
"2015","Moldova","Total employment rate of older workers (%)","41.4",""
"2015","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2015","Ukraine","Employment rate (15 to 64 years), total (%)","60.2","i"
"2015","Ukraine","Employment rate (15 to 64 years), males (%)","65.2","i"
"2015","Ukraine","Employment rate (15 to 64 years), females (%)","55.5","i"
"2015","Ukraine","Total employment rate of older workers (%)","35.3","i"
"2015","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2015","Armenia","Employment rate (15 to 64 years), total (%)","52.7",""
"2015","Armenia","Employment rate (15 to 64 years), males (%)","61.2",""
"2015","Armenia","Employment rate (15 to 64 years), females (%)","45.7",""
"2015","Armenia","Total employment rate of older workers (%)","56.8",""
"2015","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2015","Azerbaijan","Employment rate (15 to 64 years), total (%)","67.0",""
"2015","Azerbaijan","Employment rate (15 to 64 years), males (%)","70.0",""
"2015","Azerbaijan","Employment rate (15 to 64 years), females (%)","64.0",""
"2015","Azerbaijan","Total employment rate of older workers (%)","50.6",""
"2015","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2015","Georgia","Employment rate (15 to 64 years), total (%)","63.9",""
"2015","Georgia","Employment rate (15 to 64 years), males (%)","70.9",""
"2015","Georgia","Employment rate (15 to 64 years), females (%)","57.3",""
"2015","Georgia","Total employment rate of older workers (%)","74.0",""
