"AGE","GEO","SEX","TIME","CITIZEN","UNIT","Value","Flag and Footnotes"
"From 15 to 24 years","European Union (27 countries)","Males","2008","Total","Percentage","15.6",""
"From 15 to 24 years","European Union (27 countries)","Males","2009","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (27 countries)","Males","2010","Total","Percentage","21.7",""
"From 15 to 24 years","European Union (27 countries)","Males","2011","Total","Percentage","22.1",""
"From 15 to 24 years","European Union (27 countries)","Males","2012","Total","Percentage","23.7",""
"From 15 to 24 years","European Union (27 countries)","Males","2013","Total","Percentage","24.1",""
"From 15 to 24 years","European Union (27 countries)","Males","2014","Total","Percentage","22.7",""
"From 15 to 24 years","European Union (27 countries)","Males","2015","Total","Percentage","20.9",""
"From 15 to 24 years","European Union (27 countries)","Males","2016","Total","Percentage","19.3",""
"From 15 to 24 years","European Union (27 countries)","Females","2005","Total","Percentage","18.7","b"
"From 15 to 24 years","European Union (27 countries)","Females","2006","Total","Percentage","17.7",""
"From 15 to 24 years","European Union (27 countries)","Females","2007","Total","Percentage","15.8",""
"From 15 to 24 years","European Union (27 countries)","Females","2008","Total","Percentage","15.5",""
"From 15 to 24 years","European Union (27 countries)","Females","2009","Total","Percentage","18.6",""
"From 15 to 24 years","European Union (27 countries)","Females","2010","Total","Percentage","20.1",""
"From 15 to 24 years","European Union (27 countries)","Females","2011","Total","Percentage","20.9",""
"From 15 to 24 years","European Union (27 countries)","Females","2012","Total","Percentage","22.2",""
"From 15 to 24 years","European Union (27 countries)","Females","2013","Total","Percentage","22.7",""
"From 15 to 24 years","European Union (27 countries)","Females","2014","Total","Percentage","21.3",""
"From 15 to 24 years","European Union (27 countries)","Females","2015","Total","Percentage","19.4",""
"From 15 to 24 years","European Union (27 countries)","Females","2016","Total","Percentage","17.8",""
"From 15 to 24 years","European Union (15 countries)","Total","2005","Total","Percentage","16.6","b"
"From 15 to 24 years","European Union (15 countries)","Total","2006","Total","Percentage","15.9",""
"From 15 to 24 years","European Union (15 countries)","Total","2007","Total","Percentage","14.9",""
"From 15 to 24 years","European Union (15 countries)","Total","2008","Total","Percentage","15.4",""
"From 15 to 24 years","European Union (15 countries)","Total","2009","Total","Percentage","19.6",""
"From 15 to 24 years","European Union (15 countries)","Total","2010","Total","Percentage","20.3",""
"From 15 to 24 years","European Union (15 countries)","Total","2011","Total","Percentage","20.9",""
"From 15 to 24 years","European Union (15 countries)","Total","2012","Total","Percentage","22.6",""
"From 15 to 24 years","European Union (15 countries)","Total","2013","Total","Percentage","23.1",""
"From 15 to 24 years","European Union (15 countries)","Total","2014","Total","Percentage","21.9",""
"From 15 to 24 years","European Union (15 countries)","Total","2015","Total","Percentage","20.3",""
"From 15 to 24 years","European Union (15 countries)","Total","2016","Total","Percentage","18.9",""
"From 15 to 24 years","European Union (15 countries)","Males","2005","Total","Percentage","16.5","b"
"From 15 to 24 years","European Union (15 countries)","Males","2006","Total","Percentage","15.7",""
"From 15 to 24 years","European Union (15 countries)","Males","2007","Total","Percentage","14.6",""
"From 15 to 24 years","European Union (15 countries)","Males","2008","Total","Percentage","15.7",""
"From 15 to 24 years","European Union (15 countries)","Males","2009","Total","Percentage","20.8",""
"From 15 to 24 years","European Union (15 countries)","Males","2010","Total","Percentage","21.2",""
"From 15 to 24 years","European Union (15 countries)","Males","2011","Total","Percentage","21.7",""
"From 15 to 24 years","European Union (15 countries)","Males","2012","Total","Percentage","23.5",""
"From 15 to 24 years","European Union (15 countries)","Males","2013","Total","Percentage","24.0",""
"From 15 to 24 years","European Union (15 countries)","Males","2014","Total","Percentage","22.8",""
"From 15 to 24 years","European Union (15 countries)","Males","2015","Total","Percentage","21.2",""
"From 15 to 24 years","European Union (15 countries)","Males","2016","Total","Percentage","19.8",""
"From 15 to 24 years","European Union (15 countries)","Females","2005","Total","Percentage","16.8","b"
"From 15 to 24 years","European Union (15 countries)","Females","2006","Total","Percentage","16.2",""
"From 15 to 24 years","European Union (15 countries)","Females","2007","Total","Percentage","15.1",""
"From 15 to 24 years","European Union (15 countries)","Females","2008","Total","Percentage","15.1",""
"From 15 to 24 years","European Union (15 countries)","Females","2009","Total","Percentage","18.2",""
"From 15 to 24 years","European Union (15 countries)","Females","2010","Total","Percentage","19.3",""
"From 15 to 24 years","European Union (15 countries)","Females","2011","Total","Percentage","20.0",""
"From 15 to 24 years","European Union (15 countries)","Females","2012","Total","Percentage","21.5",""
"From 15 to 24 years","European Union (15 countries)","Females","2013","Total","Percentage","22.1",""
"From 15 to 24 years","European Union (15 countries)","Females","2014","Total","Percentage","20.9",""
"From 15 to 24 years","European Union (15 countries)","Females","2015","Total","Percentage","19.3",""
"From 15 to 24 years","European Union (15 countries)","Females","2016","Total","Percentage","17.9",""
"From 15 to 24 years","Euro area (19 countries)","Total","2005","Total","Percentage","17.9","b"
"From 15 to 24 years","Euro area (19 countries)","Total","2006","Total","Percentage","16.6",""
"From 15 to 24 years","Euro area (19 countries)","Total","2007","Total","Percentage","15.0",""
"From 15 to 24 years","Euro area (19 countries)","Total","2008","Total","Percentage","15.5",""
"From 15 to 24 years","Euro area (19 countries)","Total","2009","Total","Percentage","20.0",""
"From 15 to 24 years","Euro area (19 countries)","Total","2010","Total","Percentage","20.9",""
"From 15 to 24 years","Euro area (19 countries)","Total","2011","Total","Percentage","21.2",""
"From 15 to 24 years","Euro area (19 countries)","Total","2012","Total","Percentage","23.4",""
"From 15 to 24 years","Euro area (19 countries)","Total","2013","Total","Percentage","24.2",""
"From 15 to 24 years","Euro area (19 countries)","Total","2014","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (19 countries)","Total","2015","Total","Percentage","22.4",""
"From 15 to 24 years","Euro area (19 countries)","Total","2016","Total","Percentage","20.9",""
"From 15 to 24 years","Euro area (19 countries)","Males","2005","Total","Percentage","17.2","b"
"From 15 to 24 years","Euro area (19 countries)","Males","2006","Total","Percentage","15.7",""
"From 15 to 24 years","Euro area (19 countries)","Males","2007","Total","Percentage","14.3",""
"From 15 to 24 years","Euro area (19 countries)","Males","2008","Total","Percentage","15.3",""
"From 15 to 24 years","Euro area (19 countries)","Males","2009","Total","Percentage","20.9",""
"From 15 to 24 years","Euro area (19 countries)","Males","2010","Total","Percentage","21.5",""
"From 15 to 24 years","Euro area (19 countries)","Males","2011","Total","Percentage","21.5",""
"From 15 to 24 years","Euro area (19 countries)","Males","2012","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (19 countries)","Males","2013","Total","Percentage","24.6",""
"From 15 to 24 years","Euro area (19 countries)","Males","2014","Total","Percentage","24.2",""
"From 15 to 24 years","Euro area (19 countries)","Males","2015","Total","Percentage","23.0",""
"From 15 to 24 years","Euro area (19 countries)","Males","2016","Total","Percentage","21.4",""
"From 15 to 24 years","Euro area (19 countries)","Females","2005","Total","Percentage","18.7","b"
"From 15 to 24 years","Euro area (19 countries)","Females","2006","Total","Percentage","17.6",""
"From 15 to 24 years","Euro area (19 countries)","Females","2007","Total","Percentage","15.9",""
"From 15 to 24 years","Euro area (19 countries)","Females","2008","Total","Percentage","15.8",""
"From 15 to 24 years","Euro area (19 countries)","Females","2009","Total","Percentage","19.0",""
"From 15 to 24 years","Euro area (19 countries)","Females","2010","Total","Percentage","20.2",""
"From 15 to 24 years","Euro area (19 countries)","Females","2011","Total","Percentage","20.9",""
"From 15 to 24 years","Euro area (19 countries)","Females","2012","Total","Percentage","23.0",""
"From 15 to 24 years","Euro area (19 countries)","Females","2013","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (19 countries)","Females","2014","Total","Percentage","23.2",""
"From 15 to 24 years","Euro area (19 countries)","Females","2015","Total","Percentage","21.7",""
"From 15 to 24 years","Euro area (19 countries)","Females","2016","Total","Percentage","20.4",""
"From 15 to 24 years","Euro area (18 countries)","Total","2005","Total","Percentage","17.9","b"
"From 15 to 24 years","Euro area (18 countries)","Total","2006","Total","Percentage","16.6",""
"From 15 to 24 years","Euro area (18 countries)","Total","2007","Total","Percentage","15.0",""
"From 15 to 24 years","Euro area (18 countries)","Total","2008","Total","Percentage","15.5",""
"From 15 to 24 years","Euro area (18 countries)","Total","2009","Total","Percentage","19.9",""
"From 15 to 24 years","Euro area (18 countries)","Total","2010","Total","Percentage","20.8",""
"From 15 to 24 years","Euro area (18 countries)","Total","2011","Total","Percentage","21.1",""
"From 15 to 24 years","Euro area (18 countries)","Total","2012","Total","Percentage","23.4",""
"From 15 to 24 years","Euro area (18 countries)","Total","2013","Total","Percentage","24.2",""
"From 15 to 24 years","Euro area (18 countries)","Total","2014","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (18 countries)","Total","2015","Total","Percentage","22.4",""
"From 15 to 24 years","Euro area (18 countries)","Total","2016","Total","Percentage","21.0",""
"From 15 to 24 years","Euro area (18 countries)","Males","2005","Total","Percentage","17.2","b"
"From 15 to 24 years","Euro area (18 countries)","Males","2006","Total","Percentage","15.8",""
"From 15 to 24 years","Euro area (18 countries)","Males","2007","Total","Percentage","14.3",""
"From 15 to 24 years","Euro area (18 countries)","Males","2008","Total","Percentage","15.3",""
"From 15 to 24 years","Euro area (18 countries)","Males","2009","Total","Percentage","20.7",""
"From 15 to 24 years","Euro area (18 countries)","Males","2010","Total","Percentage","21.3",""
"From 15 to 24 years","Euro area (18 countries)","Males","2011","Total","Percentage","21.4",""
"From 15 to 24 years","Euro area (18 countries)","Males","2012","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (18 countries)","Males","2013","Total","Percentage","24.6",""
"From 15 to 24 years","Euro area (18 countries)","Males","2014","Total","Percentage","24.2",""
"From 15 to 24 years","Euro area (18 countries)","Males","2015","Total","Percentage","23.0",""
"From 15 to 24 years","Euro area (18 countries)","Males","2016","Total","Percentage","21.5",""
"From 15 to 24 years","Euro area (18 countries)","Females","2005","Total","Percentage","18.7","b"
"From 15 to 24 years","Euro area (18 countries)","Females","2006","Total","Percentage","17.6",""
"From 15 to 24 years","Euro area (18 countries)","Females","2007","Total","Percentage","15.9",""
"From 15 to 24 years","Euro area (18 countries)","Females","2008","Total","Percentage","15.8",""
"From 15 to 24 years","Euro area (18 countries)","Females","2009","Total","Percentage","18.9",""
"From 15 to 24 years","Euro area (18 countries)","Females","2010","Total","Percentage","20.1",""
"From 15 to 24 years","Euro area (18 countries)","Females","2011","Total","Percentage","20.8",""
"From 15 to 24 years","Euro area (18 countries)","Females","2012","Total","Percentage","23.0",""
"From 15 to 24 years","Euro area (18 countries)","Females","2013","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (18 countries)","Females","2014","Total","Percentage","23.3",""
"From 15 to 24 years","Euro area (18 countries)","Females","2015","Total","Percentage","21.7",""
"From 15 to 24 years","Euro area (18 countries)","Females","2016","Total","Percentage","20.4",""
"From 15 to 24 years","Euro area (17 countries)","Total","2005","Total","Percentage","17.9","b"
"From 15 to 24 years","Euro area (17 countries)","Total","2006","Total","Percentage","16.6",""
"From 15 to 24 years","Euro area (17 countries)","Total","2007","Total","Percentage","15.1",""
"From 15 to 24 years","Euro area (17 countries)","Total","2008","Total","Percentage","15.5",""
"From 15 to 24 years","Euro area (17 countries)","Total","2009","Total","Percentage","19.8",""
"From 15 to 24 years","Euro area (17 countries)","Total","2010","Total","Percentage","20.7",""
"From 15 to 24 years","Euro area (17 countries)","Total","2011","Total","Percentage","21.0",""
"From 15 to 24 years","Euro area (17 countries)","Total","2012","Total","Percentage","23.4",""
"From 15 to 24 years","Euro area (17 countries)","Total","2013","Total","Percentage","24.3",""
"From 15 to 24 years","Euro area (17 countries)","Total","2014","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (17 countries)","Total","2015","Total","Percentage","22.5",""
"From 15 to 24 years","Euro area (17 countries)","Total","2016","Total","Percentage","21.0",""
"From 15 to 24 years","Euro area (17 countries)","Males","2005","Total","Percentage","17.3","b"
"From 15 to 24 years","Euro area (17 countries)","Males","2006","Total","Percentage","15.8",""
"From 15 to 24 years","Euro area (17 countries)","Males","2007","Total","Percentage","14.4",""
"From 15 to 24 years","Euro area (17 countries)","Males","2008","Total","Percentage","15.3",""
"From 15 to 24 years","Euro area (17 countries)","Males","2009","Total","Percentage","20.6",""
"From 15 to 24 years","Euro area (17 countries)","Males","2010","Total","Percentage","21.2",""
"From 15 to 24 years","Euro area (17 countries)","Males","2011","Total","Percentage","21.3",""
"From 15 to 24 years","Euro area (17 countries)","Males","2012","Total","Percentage","23.7",""
"From 15 to 24 years","Euro area (17 countries)","Males","2013","Total","Percentage","24.6",""
"From 15 to 24 years","Euro area (17 countries)","Males","2014","Total","Percentage","24.3",""
"From 15 to 24 years","Euro area (17 countries)","Males","2015","Total","Percentage","23.0",""
"From 15 to 24 years","Euro area (17 countries)","Males","2016","Total","Percentage","21.5",""
"From 15 to 24 years","Euro area (17 countries)","Females","2005","Total","Percentage","18.7","b"
"From 15 to 24 years","Euro area (17 countries)","Females","2006","Total","Percentage","17.6",""
"From 15 to 24 years","Euro area (17 countries)","Females","2007","Total","Percentage","16.0",""
"From 15 to 24 years","Euro area (17 countries)","Females","2008","Total","Percentage","15.8",""
"From 15 to 24 years","Euro area (17 countries)","Females","2009","Total","Percentage","18.9",""
"From 15 to 24 years","Euro area (17 countries)","Females","2010","Total","Percentage","20.0",""
"From 15 to 24 years","Euro area (17 countries)","Females","2011","Total","Percentage","20.7",""
"From 15 to 24 years","Euro area (17 countries)","Females","2012","Total","Percentage","22.9",""
"From 15 to 24 years","Euro area (17 countries)","Females","2013","Total","Percentage","23.8",""
"From 15 to 24 years","Euro area (17 countries)","Females","2014","Total","Percentage","23.3",""
"From 15 to 24 years","Euro area (17 countries)","Females","2015","Total","Percentage","21.8",""
"From 15 to 24 years","Euro area (17 countries)","Females","2016","Total","Percentage","20.5",""
"From 15 to 24 years","Belgium","Total","2005","Total","Percentage","21.5","b"
"From 15 to 24 years","Belgium","Total","2006","Total","Percentage","20.5",""
"From 15 to 24 years","Belgium","Total","2007","Total","Percentage","18.8",""
"From 15 to 24 years","Belgium","Total","2008","Total","Percentage","18.0",""
"From 15 to 24 years","Belgium","Total","2009","Total","Percentage","21.9",""
"From 15 to 24 years","Belgium","Total","2010","Total","Percentage","22.4",""
"From 15 to 24 years","Belgium","Total","2011","Total","Percentage","18.7","b"
"From 15 to 24 years","Belgium","Total","2012","Total","Percentage","19.8",""
"From 15 to 24 years","Belgium","Total","2013","Total","Percentage","23.7",""
"From 15 to 24 years","Belgium","Total","2014","Total","Percentage","23.2",""
"From 15 to 24 years","Belgium","Total","2015","Total","Percentage","22.1",""
"From 15 to 24 years","Belgium","Total","2016","Total","Percentage","20.1",""
"From 15 to 24 years","Belgium","Males","2005","Total","Percentage","21.0","b"
"From 15 to 24 years","Belgium","Males","2006","Total","Percentage","18.8",""
"From 15 to 24 years","Belgium","Males","2007","Total","Percentage","17.1",""
"From 15 to 24 years","Belgium","Males","2008","Total","Percentage","17.3",""
"From 15 to 24 years","Belgium","Males","2009","Total","Percentage","21.5",""
"From 15 to 24 years","Belgium","Males","2010","Total","Percentage","22.4",""
"From 15 to 24 years","Belgium","Males","2011","Total","Percentage","18.7","b"
"From 15 to 24 years","Belgium","Males","2012","Total","Percentage","20.4",""
"From 15 to 24 years","Belgium","Males","2013","Total","Percentage","24.7",""
"From 15 to 24 years","Belgium","Males","2014","Total","Percentage","24.0",""
"From 15 to 24 years","Belgium","Males","2015","Total","Percentage","23.8",""
"From 15 to 24 years","Belgium","Males","2016","Total","Percentage","21.7",""
"From 15 to 24 years","Belgium","Females","2005","Total","Percentage","22.1","b"
"From 15 to 24 years","Belgium","Females","2006","Total","Percentage","22.6",""
"From 15 to 24 years","Belgium","Females","2007","Total","Percentage","20.9",""
"From 15 to 24 years","Belgium","Females","2008","Total","Percentage","18.7",""
"From 15 to 24 years","Belgium","Females","2009","Total","Percentage","22.5",""
"From 15 to 24 years","Belgium","Females","2010","Total","Percentage","22.4",""
"From 15 to 24 years","Belgium","Females","2011","Total","Percentage","18.7","b"
"From 15 to 24 years","Belgium","Females","2012","Total","Percentage","18.9",""
"From 15 to 24 years","Belgium","Females","2013","Total","Percentage","22.5",""
"From 15 to 24 years","Belgium","Females","2014","Total","Percentage","22.3",""
"From 15 to 24 years","Belgium","Females","2015","Total","Percentage","20.0",""
"From 15 to 24 years","Belgium","Females","2016","Total","Percentage","18.2",""
"From 15 to 24 years","Bulgaria","Total","2005","Total","Percentage","22.3","b"
"From 15 to 24 years","Bulgaria","Total","2006","Total","Percentage","19.5",""
"From 15 to 24 years","Bulgaria","Total","2007","Total","Percentage","15.1",""
"From 15 to 24 years","Bulgaria","Total","2008","Total","Percentage","12.7","b"
"From 15 to 24 years","Bulgaria","Total","2009","Total","Percentage","16.2",""
"From 15 to 24 years","Bulgaria","Total","2010","Total","Percentage","21.9","b"
"From 15 to 24 years","Bulgaria","Total","2011","Total","Percentage","25.0","b"
"From 15 to 24 years","Bulgaria","Total","2012","Total","Percentage","28.1",""
"From 15 to 24 years","Bulgaria","Total","2013","Total","Percentage","28.4",""
"From 15 to 24 years","Bulgaria","Total","2014","Total","Percentage","23.8",""
"From 15 to 24 years","Bulgaria","Total","2015","Total","Percentage","21.6",""
"From 15 to 24 years","Bulgaria","Total","2016","Total","Percentage","17.2",""
"From 15 to 24 years","Bulgaria","Males","2005","Total","Percentage","23.4","b"
"From 15 to 24 years","Bulgaria","Males","2006","Total","Percentage","18.9",""
"From 15 to 24 years","Bulgaria","Males","2007","Total","Percentage","14.5",""
"From 15 to 24 years","Bulgaria","Males","2008","Total","Percentage","13.7","b"
"From 15 to 24 years","Bulgaria","Males","2009","Total","Percentage","17.8",""
"From 15 to 24 years","Bulgaria","Males","2010","Total","Percentage","23.2","b"
"From 15 to 24 years","Bulgaria","Males","2011","Total","Percentage","26.0","b"
"From 15 to 24 years","Bulgaria","Males","2012","Total","Percentage","29.5",""
"From 15 to 24 years","Bulgaria","Males","2013","Total","Percentage","30.2",""
"From 15 to 24 years","Bulgaria","Males","2014","Total","Percentage","23.8",""
"From 15 to 24 years","Bulgaria","Males","2015","Total","Percentage","21.2",""
"From 15 to 24 years","Bulgaria","Males","2016","Total","Percentage","17.4",""
"From 15 to 24 years","Bulgaria","Females","2005","Total","Percentage","21.0","b"
"From 15 to 24 years","Bulgaria","Females","2006","Total","Percentage","20.3",""
"From 15 to 24 years","Bulgaria","Females","2007","Total","Percentage","15.9",""
"From 15 to 24 years","Bulgaria","Females","2008","Total","Percentage","11.4","b"
"From 15 to 24 years","Bulgaria","Females","2009","Total","Percentage","13.8",""
"From 15 to 24 years","Bulgaria","Females","2010","Total","Percentage","20.1","b"
"From 15 to 24 years","Bulgaria","Females","2011","Total","Percentage","23.6","b"
"From 15 to 24 years","Bulgaria","Females","2012","Total","Percentage","26.0",""
"From 15 to 24 years","Bulgaria","Females","2013","Total","Percentage","25.7",""
"From 15 to 24 years","Bulgaria","Females","2014","Total","Percentage","23.7",""
"From 15 to 24 years","Bulgaria","Females","2015","Total","Percentage","22.3",""
"From 15 to 24 years","Bulgaria","Females","2016","Total","Percentage","16.9",""
"From 15 to 24 years","Czech Republic","Total","2005","Total","Percentage","19.2","b"
"From 15 to 24 years","Czech Republic","Total","2006","Total","Percentage","17.5",""
"From 15 to 24 years","Czech Republic","Total","2007","Total","Percentage","10.7",""
"From 15 to 24 years","Czech Republic","Total","2008","Total","Percentage","9.9",""
"From 15 to 24 years","Czech Republic","Total","2009","Total","Percentage","16.6",""
"From 15 to 24 years","Czech Republic","Total","2010","Total","Percentage","18.3",""
"From 15 to 24 years","Czech Republic","Total","2011","Total","Percentage","18.1","b"
"From 15 to 24 years","Czech Republic","Total","2012","Total","Percentage","19.5",""
"From 15 to 24 years","Czech Republic","Total","2013","Total","Percentage","19.0",""
"From 15 to 24 years","Czech Republic","Total","2014","Total","Percentage","15.9",""
"From 15 to 24 years","Czech Republic","Total","2015","Total","Percentage","12.6",""
"From 15 to 24 years","Czech Republic","Total","2016","Total","Percentage","10.5",""
"From 15 to 24 years","Czech Republic","Males","2005","Total","Percentage","19.3","b"
"From 15 to 24 years","Czech Republic","Males","2006","Total","Percentage","16.6",""
"From 15 to 24 years","Czech Republic","Males","2007","Total","Percentage","10.6",""
"From 15 to 24 years","Czech Republic","Males","2008","Total","Percentage","9.8",""
"From 15 to 24 years","Czech Republic","Males","2009","Total","Percentage","16.6",""
"From 15 to 24 years","Czech Republic","Males","2010","Total","Percentage","18.2",""
"From 15 to 24 years","Czech Republic","Males","2011","Total","Percentage","18.1","b"
"From 15 to 24 years","Czech Republic","Males","2012","Total","Percentage","19.9",""
"From 15 to 24 years","Czech Republic","Males","2013","Total","Percentage","18.6",""
"From 15 to 24 years","Czech Republic","Males","2014","Total","Percentage","15.0",""
"From 15 to 24 years","Czech Republic","Males","2015","Total","Percentage","11.3",""
"From 15 to 24 years","Czech Republic","Males","2016","Total","Percentage","9.9",""
"From 15 to 24 years","Czech Republic","Females","2005","Total","Percentage","19.1","b"
"From 15 to 24 years","Czech Republic","Females","2006","Total","Percentage","18.7",""
"From 15 to 24 years","Czech Republic","Females","2007","Total","Percentage","11.0",""
"From 15 to 24 years","Czech Republic","Females","2008","Total","Percentage","9.9",""
"From 15 to 24 years","Czech Republic","Females","2009","Total","Percentage","16.7",""
"From 15 to 24 years","Czech Republic","Females","2010","Total","Percentage","18.5",""
"From 15 to 24 years","Czech Republic","Females","2011","Total","Percentage","18.0","b"
"From 15 to 24 years","Czech Republic","Females","2012","Total","Percentage","19.0",""
"From 15 to 24 years","Czech Republic","Females","2013","Total","Percentage","19.4",""
"From 15 to 24 years","Czech Republic","Females","2014","Total","Percentage","17.1",""
"From 15 to 24 years","Czech Republic","Females","2015","Total","Percentage","14.4",""
"From 15 to 24 years","Czech Republic","Females","2016","Total","Percentage","11.4",""
"From 15 to 24 years","Denmark","Total","2005","Total","Percentage","8.6","b"
"From 15 to 24 years","Denmark","Total","2006","Total","Percentage","7.7",""
"From 15 to 24 years","Denmark","Total","2007","Total","Percentage","7.5",""
"From 15 to 24 years","Denmark","Total","2008","Total","Percentage","8.0",""
"From 15 to 24 years","Denmark","Total","2009","Total","Percentage","11.8",""
"From 15 to 24 years","Denmark","Total","2010","Total","Percentage","14.0",""
"From 15 to 24 years","Denmark","Total","2011","Total","Percentage","14.2",""
"From 15 to 24 years","Denmark","Total","2012","Total","Percentage","14.1",""
"From 15 to 24 years","Denmark","Total","2013","Total","Percentage","13.1",""
"From 15 to 24 years","Denmark","Total","2014","Total","Percentage","12.6",""
"From 15 to 24 years","Denmark","Total","2015","Total","Percentage","10.8",""
"From 15 to 24 years","Denmark","Total","2016","Total","Percentage","12.0","b"
"From 15 to 24 years","Denmark","Males","2005","Total","Percentage","8.6","b"
"From 15 to 24 years","Denmark","Males","2006","Total","Percentage","7.9",""
"From 15 to 24 years","Denmark","Males","2007","Total","Percentage","7.6",""
"From 15 to 24 years","Denmark","Males","2008","Total","Percentage","7.4",""
"From 15 to 24 years","Denmark","Males","2009","Total","Percentage","13.3",""
"From 15 to 24 years","Denmark","Males","2010","Total","Percentage","16.1",""
"From 15 to 24 years","Denmark","Males","2011","Total","Percentage","15.7",""
"From 15 to 24 years","Denmark","Males","2012","Total","Percentage","14.8",""
"From 15 to 24 years","Denmark","Males","2013","Total","Percentage","14.3",""
"From 15 to 24 years","Denmark","Males","2014","Total","Percentage","13.7",""
"From 15 to 24 years","Denmark","Males","2015","Total","Percentage","11.6",""
"From 15 to 24 years","Denmark","Males","2016","Total","Percentage","13.1","b"
