"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"1998Q1","United Kingdom","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Iceland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Iceland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Iceland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Norway","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Norway","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Norway","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Switzerland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Switzerland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Switzerland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Turkey","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Turkey","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Turkey","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","10.2",""
"1998Q2","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage","8.9",""
"1998Q2","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage","11.9",""
"1998Q2","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Belgium","Total","From 15 to 74 years","Total","Percentage","9.3",""
"1998Q2","Belgium","Males","From 15 to 74 years","Total","Percentage","7.6",""
"1998Q2","Belgium","Females","From 15 to 74 years","Total","Percentage","11.7",""
"1998Q2","Bulgaria","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Bulgaria","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Bulgaria","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Czech Republic","Total","From 15 to 74 years","Total","Percentage","5.9",""
"1998Q2","Czech Republic","Males","From 15 to 74 years","Total","Percentage","4.6",""
"1998Q2","Czech Republic","Females","From 15 to 74 years","Total","Percentage","7.5",""
"1998Q2","Denmark","Total","From 15 to 74 years","Total","Percentage","5.0",""
"1998Q2","Denmark","Males","From 15 to 74 years","Total","Percentage","3.8",""
"1998Q2","Denmark","Females","From 15 to 74 years","Total","Percentage","6.4",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","9.8",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage","9.3",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage","10.4",""
"1998Q2","Estonia","Total","From 15 to 74 years","Total","Percentage","9.5",""
"1998Q2","Estonia","Males","From 15 to 74 years","Total","Percentage","10.4",""
"1998Q2","Estonia","Females","From 15 to 74 years","Total","Percentage","8.5",""
"1998Q2","Ireland","Total","From 15 to 74 years","Total","Percentage","7.7","b"
"1998Q2","Ireland","Males","From 15 to 74 years","Total","Percentage","8.0","b"
"1998Q2","Ireland","Females","From 15 to 74 years","Total","Percentage","7.4","b"
"1998Q2","Greece","Total","From 15 to 74 years","Total","Percentage","10.9",""
"1998Q2","Greece","Males","From 15 to 74 years","Total","Percentage","7.1",""
"1998Q2","Greece","Females","From 15 to 74 years","Total","Percentage","16.7",""
"1998Q2","Spain","Total","From 15 to 74 years","Total","Percentage","18.7",""
"1998Q2","Spain","Males","From 15 to 74 years","Total","Percentage","13.7",""
"1998Q2","Spain","Females","From 15 to 74 years","Total","Percentage","26.6",""
"1998Q2","France","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","France","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","France","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Croatia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Croatia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Croatia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Italy","Total","From 15 to 74 years","Total","Percentage","12.1",""
"1998Q2","Italy","Males","From 15 to 74 years","Total","Percentage","9.5",""
"1998Q2","Italy","Females","From 15 to 74 years","Total","Percentage","16.6",""
"1998Q2","Cyprus","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Cyprus","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Cyprus","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Latvia","Total","From 15 to 74 years","Total","Percentage","14.5",""
"1998Q2","Latvia","Males","From 15 to 74 years","Total","Percentage","15.4",""
"1998Q2","Latvia","Females","From 15 to 74 years","Total","Percentage","13.5",""
"1998Q2","Lithuania","Total","From 15 to 74 years","Total","Percentage","13.7",""
"1998Q2","Lithuania","Males","From 15 to 74 years","Total","Percentage","15.4",""
"1998Q2","Lithuania","Females","From 15 to 74 years","Total","Percentage","11.9",""
"1998Q2","Luxembourg","Total","From 15 to 74 years","Total","Percentage","2.8",""
"1998Q2","Luxembourg","Males","From 15 to 74 years","Total","Percentage","1.9",""
"1998Q2","Luxembourg","Females","From 15 to 74 years","Total","Percentage","4.2",""
"1998Q2","Hungary","Total","From 15 to 74 years","Total","Percentage","8.9",""
"1998Q2","Hungary","Males","From 15 to 74 years","Total","Percentage","9.6",""
"1998Q2","Hungary","Females","From 15 to 74 years","Total","Percentage","8.1",""
"1998Q2","Malta","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Malta","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Malta","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Netherlands","Total","From 15 to 74 years","Total","Percentage","4.4",""
"1998Q2","Netherlands","Males","From 15 to 74 years","Total","Percentage","3.4",""
"1998Q2","Netherlands","Females","From 15 to 74 years","Total","Percentage","5.8",""
"1998Q2","Austria","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Austria","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Austria","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Poland","Total","From 15 to 74 years","Total","Percentage","10.0",""
"1998Q2","Poland","Males","From 15 to 74 years","Total","Percentage","8.4",""
"1998Q2","Poland","Females","From 15 to 74 years","Total","Percentage","11.9",""
"1998Q2","Portugal","Total","From 15 to 74 years","Total","Percentage","4.7",""
"1998Q2","Portugal","Males","From 15 to 74 years","Total","Percentage","3.9",""
"1998Q2","Portugal","Females","From 15 to 74 years","Total","Percentage","5.7",""
"1998Q2","Romania","Total","From 15 to 74 years","Total","Percentage","5.7",""
"1998Q2","Romania","Males","From 15 to 74 years","Total","Percentage","5.9",""
"1998Q2","Romania","Females","From 15 to 74 years","Total","Percentage","5.6",""
"1998Q2","Slovenia","Total","From 15 to 74 years","Total","Percentage","7.4",""
"1998Q2","Slovenia","Males","From 15 to 74 years","Total","Percentage","7.4",""
"1998Q2","Slovenia","Females","From 15 to 74 years","Total","Percentage","7.5",""
"1998Q2","Slovakia","Total","From 15 to 74 years","Total","Percentage","12.2",""
"1998Q2","Slovakia","Males","From 15 to 74 years","Total","Percentage","11.9",""
"1998Q2","Slovakia","Females","From 15 to 74 years","Total","Percentage","12.5",""
"1998Q2","Finland","Total","From 15 to 74 years","Total","Percentage","13.2",""
"1998Q2","Finland","Males","From 15 to 74 years","Total","Percentage","12.9",""
"1998Q2","Finland","Females","From 15 to 74 years","Total","Percentage","13.6",""
"1998Q2","Sweden","Total","From 15 to 74 years","Total","Percentage","8.9",""
"1998Q2","Sweden","Males","From 15 to 74 years","Total","Percentage","9.7",""
"1998Q2","Sweden","Females","From 15 to 74 years","Total","Percentage","8.0",""
"1998Q2","United Kingdom","Total","From 15 to 74 years","Total","Percentage","6.2",""
"1998Q2","United Kingdom","Males","From 15 to 74 years","Total","Percentage","6.9",""
"1998Q2","United Kingdom","Females","From 15 to 74 years","Total","Percentage","5.4",""
"1998Q2","Iceland","Total","From 15 to 74 years","Total","Percentage","3.1",""
"1998Q2","Iceland","Males","From 15 to 74 years","Total","Percentage","2.4",""
"1998Q2","Iceland","Females","From 15 to 74 years","Total","Percentage","3.8",""
"1998Q2","Norway","Total","From 15 to 74 years","Total","Percentage","3.7",""
"1998Q2","Norway","Males","From 15 to 74 years","Total","Percentage","3.5",""
"1998Q2","Norway","Females","From 15 to 74 years","Total","Percentage","4.0",""
"1998Q2","Switzerland","Total","From 15 to 74 years","Total","Percentage","3.6",""
"1998Q2","Switzerland","Males","From 15 to 74 years","Total","Percentage","3.2",""
"1998Q2","Switzerland","Females","From 15 to 74 years","Total","Percentage","4.2",""
"1998Q2","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Turkey","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Turkey","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q2","Turkey","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Belgium","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Belgium","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Belgium","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Czech Republic","Total","From 15 to 74 years","Total","Percentage","6.8",""
"1998Q3","Czech Republic","Males","From 15 to 74 years","Total","Percentage","5.2",""
"1998Q3","Czech Republic","Females","From 15 to 74 years","Total","Percentage","8.8",""
"1998Q3","Denmark","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Denmark","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Denmark","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Estonia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Estonia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Estonia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Ireland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Ireland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Ireland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Greece","Total","From 15 to 74 years","Total","Percentage","10.8",""
"1998Q3","Greece","Males","From 15 to 74 years","Total","Percentage","6.9",""
"1998Q3","Greece","Females","From 15 to 74 years","Total","Percentage","16.9",""
"1998Q3","Spain","Total","From 15 to 74 years","Total","Percentage","18.3",""
"1998Q3","Spain","Males","From 15 to 74 years","Total","Percentage","13.1",""
"1998Q3","Spain","Females","From 15 to 74 years","Total","Percentage","26.5",""
"1998Q3","France","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","France","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","France","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Croatia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Croatia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Croatia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Italy","Total","From 15 to 74 years","Total","Percentage","11.5",""
"1998Q3","Italy","Males","From 15 to 74 years","Total","Percentage","8.8",""
"1998Q3","Italy","Females","From 15 to 74 years","Total","Percentage","15.8",""
"1998Q3","Cyprus","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Cyprus","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Cyprus","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Latvia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Latvia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Latvia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Lithuania","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Lithuania","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Lithuania","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Hungary","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Hungary","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Hungary","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Malta","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Malta","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Malta","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Netherlands","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Netherlands","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Netherlands","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Austria","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Austria","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Austria","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Poland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Poland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Poland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Portugal","Total","From 15 to 74 years","Total","Percentage","4.8",""
"1998Q3","Portugal","Males","From 15 to 74 years","Total","Percentage","3.8",""
"1998Q3","Portugal","Females","From 15 to 74 years","Total","Percentage","6.1",""
"1998Q3","Romania","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Romania","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Romania","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Slovenia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Slovenia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Slovenia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Slovakia","Total","From 15 to 74 years","Total","Percentage","12.9",""
"1998Q3","Slovakia","Males","From 15 to 74 years","Total","Percentage","12.5",""
"1998Q3","Slovakia","Females","From 15 to 74 years","Total","Percentage","13.4",""
"1998Q3","Finland","Total","From 15 to 74 years","Total","Percentage","10.2",""
"1998Q3","Finland","Males","From 15 to 74 years","Total","Percentage","9.4",""
"1998Q3","Finland","Females","From 15 to 74 years","Total","Percentage","11.1",""
"1998Q3","Sweden","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Sweden","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Sweden","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Iceland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Iceland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Iceland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Norway","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Norway","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Norway","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Switzerland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Switzerland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Switzerland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Turkey","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Turkey","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q3","Turkey","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q4","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q4","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
